Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",102.000000,-56.000000,0.000000,top
"C2","100n","C_0402_1005Metric",99.000000,-60.500000,90.000000,top
"C3","100n","C_0402_1005Metric",108.500000,-70.500000,180.000000,top
"C4","100n","C_0402_1005Metric",111.500000,-61.000000,-90.000000,top
"C5","10u","C_0603_1608Metric",102.000000,-57.500000,0.000000,top
"C6","10n","C_0603_1608Metric",98.500000,-65.000000,90.000000,top
"C7","1u","C_0402_1005Metric",98.000000,-69.000000,180.000000,top
"C8","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",98.000000,-70.500000,180.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",103.500000,-70.000000,0.000000,top
"C10","10p","C_0402_1005Metric",95.950000,-60.500000,90.000000,top
"C11","10p","C_0402_1005Metric",95.950000,-62.520000,90.000000,top
"C12","22u","C_0805_2012Metric",115.000000,-66.000000,0.000000,top
"C13","22u","C_0805_2012Metric",119.500000,-70.050000,90.000000,top
"D1","RED","LED_0603_1608Metric",124.000000,-70.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",100.500000,-69.500000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",123.550000,-62.150000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",118.080000,-51.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",103.120000,-51.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",100.690000,-76.500000,90.000000,top
"R1","10K","R_0402_1005Metric",92.000000,-58.000000,90.000000,top
"R2","1k5","R_0402_1005Metric",115.000000,-62.000000,-90.000000,top
"R3","1k5","R_0402_1005Metric",124.500000,-68.000000,0.000000,top
"R4","1k5","R_0402_1005Metric",103.500000,-74.010000,180.000000,top
"R5","1k5","R_0402_1005Metric",106.990000,-74.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",88.330000,-59.000000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",105.162500,-63.750000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",114.500000,-71.500000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",93.150000,-61.600000,-90.000000,top
